,,accuracy,precision_macro,recall_macro,f1_macro,recall_spoiled,roc_auc
Grouped,Logistic Regression,0.5,0.25,0.5,0.3333333333333333,1.0,0.7894604481024236
Grouped,Decision Tree,0.6734567901234568,0.6953200757218201,0.6734567901234568,0.6640557531500899,0.8407407407407408,0.6734567901234568
Grouped,KNN,0.6283950617283951,0.6358709677419354,0.6283950617283951,0.623212146969053,0.745679012345679,0.619525986892242
Grouped,Random Forest,0.6888888888888889,0.717102635432944,0.6888888888888889,0.6784418006755054,0.8691358024691358,0.595556317634507
Stratified K-Fold,Logistic Regression,0.6851851851851852,0.7124125874125874,0.6851851851851851,0.6747628232885879,0.8641975308641975,0.6815683584819386
Stratified K-Fold,Decision Tree,0.5561728395061728,0.5566328247570957,0.5561728395061728,0.5552697884097071,0.6012345679012345,0.6080330742264899
Stratified K-Fold,KNN,0.5685185185185185,0.5694741722366032,0.5685185185185185,0.5670295846675907,0.6271604938271605,0.528705989940558
Stratified K-Fold,Random Forest,0.5839506172839506,0.5857708790113614,0.5839506172839506,0.581731454340128,0.6567901234567901,0.6109586953208352
Stratified per Trial,Logistic Regression,0.6722222222222223,0.6935710994125799,0.6722222222222223,0.662928348665518,0.8382716049382716,0.6797911903673222
Stratified per Trial,Decision Tree,0.5209876543209877,0.5270719796163919,0.5209876543209876,0.4924713679437242,0.7580246913580246,0.47408321902149064
Stratified per Trial,KNN,0.5771604938271605,0.5785835251676836,0.5771604938271605,0.5752375389423006,0.6444444444444445,0.5378936137783875
Stratified per Trial,Random Forest,0.6203703703703703,0.6265505344847202,0.6203703703703703,0.6156782297513577,0.7308641975308642,0.6341251333638165
