model,param,value,train_auc,val_auc
Logistic Regression,epoch,1,0.7000279157914244,0.7006646825396825
Logistic Regression,epoch,2,0.7793097233154225,0.9325911228689007
Logistic Regression,epoch,3,0.8059755748388054,0.7444991916519694
Logistic Regression,epoch,4,0.8037591927884518,0.8639535567313346
Logistic Regression,epoch,5,0.8069949252030865,0.9164520870076425
Logistic Regression,epoch,6,0.7936860223504298,0.7560218253968254
Logistic Regression,epoch,7,0.7944572311111288,0.9564730305702528
Logistic Regression,epoch,8,0.8022585763147244,0.8689248971193416
Logistic Regression,epoch,9,0.803873455409317,0.7964550264550265
Logistic Regression,epoch,10,0.800464811417403,0.9325628306878307
Logistic Regression,epoch,11,0.7982590621541553,0.7874143885949442
Logistic Regression,epoch,12,0.8036376699271052,0.8023537624926514
Logistic Regression,epoch,13,0.8001750244221482,0.9385317460317459
Logistic Regression,epoch,14,0.8051901420847593,0.8253615520282186
Logistic Regression,epoch,15,0.8030162726523533,0.8373824221046443
Logistic Regression,epoch,16,0.8004137525439425,0.8559964726631395
Logistic Regression,epoch,17,0.7938545199683353,0.9504115226337448
Logistic Regression,epoch,18,0.7960950249922938,0.9497328777189888
Logistic Regression,epoch,19,0.7991631270152981,0.7755151381540271
Logistic Regression,epoch,20,0.8002843431120275,0.9171619635508523
Logistic Regression,epoch,21,0.8062956628683502,0.8501271310993532
Logistic Regression,epoch,22,0.8076491770117157,0.8705166078777189
Logistic Regression,epoch,23,0.8066777872253145,0.9075830393885951
Logistic Regression,epoch,24,0.807099866994544,0.8685181510875954
Logistic Regression,epoch,25,0.8045894804126068,0.9215296149323928
Logistic Regression,epoch,26,0.8059233300148834,0.8423456790123458
Logistic Regression,epoch,27,0.8064423649404313,0.8571998089359201
Logistic Regression,epoch,28,0.8071369279464642,0.8676925338036449
Logistic Regression,epoch,29,0.8067261777102368,0.8280922986478542
Logistic Regression,epoch,30,0.8059962659682625,0.824997060552616
Logistic Regression,epoch,31,0.808615882293794,0.8585717960023516
Logistic Regression,epoch,32,0.8065232949411396,0.8089579659024104
Logistic Regression,epoch,33,0.8084439083585984,0.8752134773662552
Logistic Regression,epoch,34,0.8053905195335065,0.8972519841269843
Logistic Regression,epoch,35,0.8047843246612325,0.8773769106407995
Logistic Regression,epoch,36,0.8068728390152707,0.8167993092298649
Logistic Regression,epoch,37,0.7992328720207169,0.9333472957084069
Logistic Regression,epoch,38,0.807126580528688,0.8801951058201058
Logistic Regression,epoch,39,0.8081111899566391,0.8566938565549678
Logistic Regression,epoch,40,0.8067267706854675,0.8015637860082303
Random Forest,n_estimators,10,0.9999753692913539,0.6176736111111111
Random Forest,n_estimators,25,0.9999957009295772,0.696658215755438
Random Forest,n_estimators,50,0.9999981358341183,0.6635774911816579
Random Forest,n_estimators,100,0.9999993014010564,0.6497363683127573
Random Forest,n_estimators,200,0.9999994459387688,0.6400981040564373
Random Forest,n_estimators,350,0.9999994570570543,0.6233513374485598
Random Forest,n_estimators,500,0.9999994644692447,0.6083895502645503
Random Forest,n_estimators,750,0.9999994644692448,0.6239711934156379
Random Forest,n_estimators,1000,0.9999994644692447,0.6294536302175191
Decision Tree,max_depth,1,0.6836571408617811,0.5
Decision Tree,max_depth,2,0.7926104116080861,0.656139770723104
Decision Tree,max_depth,3,0.862786202413659,0.6999154908877131
Decision Tree,max_depth,5,0.9286066123861342,0.4242706496178718
Decision Tree,max_depth,7,0.9638486683775755,0.6657539682539683
Decision Tree,max_depth,9,0.9847201605163194,0.5054767416225749
Decision Tree,max_depth,11,0.995085069208715,0.6375187389770723
Decision Tree,max_depth,15,0.9993462058941271,0.5032690329218108
Decision Tree,max_depth,None,0.9999994644692447,0.5928185626102292
KNN,k,1,0.9994980668507155,0.6699955908289241
KNN,k,3,0.9992407044822957,0.6548945473251029
KNN,k,5,0.9987711107196569,0.6346329365079365
KNN,k,7,0.9985069717561784,0.6720963771310994
KNN,k,9,0.9982482548099658,0.7715986919459141
KNN,k,11,0.9980587899585115,0.780568783068783
KNN,k,15,0.997724939344471,0.7832383524397414
KNN,k,21,0.9973183714366678,0.7532563565549677
KNN,k,31,0.9967966273555343,0.717252351557907
